ID,name,cre_id,lat,lng,regular,premium,diesel
2144,ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO SA CV,PL/893/EXP/ES/2015,21.16531,-100.9016,,26.35,
2145,"PETROMAX, S.A. DE C.V.",PL/519/EXP/ES/2015,25.47064,-100.995,25.79,,
2146,"PETROMAX, S.A. DE C.V.",PL/523/EXP/ES/2015,25.77217,-100.3883,,27.39,
2147,"PETROMAX, S.A. DE C.V.",PL/563/EXP/ES/2015,25.71573,-100.2403,,27.49,
2148,"PETROMAX, S.A. DE C.V.",PL/464/EXP/ES/2015,25.28464,-100.0302,,27.59,
2149,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/834/EXP/ES/2015,31.28525,-110.9418,,22.99,
2150,"PETROMAX, S.A. DE C.V.",PL/467/EXP/ES/2015,26.04565,-98.39253,20.29,,
2151,"PETROMAX, S.A. DE C.V.",PL/485/EXP/ES/2015,25.48239,-100.9813,,26.99,
2152,"PETROMAX, S.A. DE C.V.",PL/494/EXP/ES/2015,25.71853,-100.2887,23.89,,
2153,"Inmobiliaria RAVS, S.A. de C.V.",PL/695/EXP/ES/2015,19.37504,-99.08196,24.29,,
2154,GASOLINA Y LUBRICANTES MALPASO SA DE CV ,PL/725/EXP/ES/2015,17.18763,-93.56612,24.05,,
2155,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PL/678/EXP/ES/2015,32.52866,-117.0082,22.79,,
2156,SERVICIOS ENERGETICOS DEL PACIFICO SA DE CV,PL/727/EXP/ES/2015,19.11446,-104.3236,,25.48,
2157,"Gasolinería México - Ajusco 1, S.A. de C.V.",PL/821/EXP/ES/2015,19.2289,-99.19692,,25.99,
2158,"GRUPO OCTANO, S.A. DE C.V.",PL/421/EXP/ES/2015,20.65418,-105.2224,26.39,,
2159,"GRUPO OCTANO, S.A. DE C.V.",PL/501/EXP/ES/2015,20.20225,-101.1592,24.14,,
2160,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/383/EXP/ES/2015,32.47077,-114.7834,,22.64,
2161,"PETROMAX, S.A. DE C.V.",PL/559/EXP/ES/2015,25.38848,-100.9898,22.99,,
2162,"PETROMAX, S.A. DE C.V.",PL/510/EXP/ES/2015,25.55805,-103.4574,,,
2163,ESTACION DE SERVICIO TEZONTEPEC S.A. DE C.V.,PL/719/EXP/ES/2015,20.19257,-99.26816,,24.99,
2164,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/729/EXP/ES/2015,32.48362,-116.9314,23.99,,
2165,"Estación de Servicio Cordoba, S.A. de C.V.",PL/664/EXP/ES/2015,18.91205,-99.20078,,25.99,
2166,Becktrop Operadora SA de CV,PL/702/EXP/ES/2015,32.51695,-117.0217,,25.29,
2167,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/378/EXP/ES/2015,32.60439,-115.4283,,23.79,
2168,GRUPO GOCALVI SA DE CV,PL/847/EXP/ES/2015,31.77218,-106.5244,,,21.89
2169,"GRUPO OCTANO, S.A. DE C.V.",PL/419/EXP/ES/2015,20.64037,-103.4172,24.89,,
2170,"GRUPO OCTANO, S.A. DE C.V.",PL/414/EXP/ES/2015,19.78714,-101.0983,24.14,,
2171,GRUPO GOCALVI SA DE CV,PL/870/EXP/ES/2015,31.72176,-106.4938,,19.89,
2172,"SERVICIO GENCAR, S.A. DE C.V.",PL/805/EXP/ES/2015,18.64528,-91.8837,,24.99,
2173,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/393/EXP/ES/2015,32.55959,-115.3589,,23.99,
2174,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/384/EXP/ES/2015,32.56762,-115.3366,,23.99,
2175,"PETROMAX, S.A. DE C.V.",PL/622/EXP/ES/2015,25.59786,-103.4968,,26.19,
2176,"PETROMAX, S.A. DE C.V.",PL/435/EXP/ES/2015,19.47735,-99.23218,,17.96,
2177,"PETROMAX, S.A. DE C.V.",PL/466/EXP/ES/2015,25.73397,-100.174,26.49,,
2178,"PETROMAX, S.A. DE C.V.",PL/570/EXP/ES/2015,25.76927,-100.273,,27.49,
2179,GAS SANFER S. DE R.L. DE C.V.,PL/755/EXP/ES/2015,19.24986,-103.719,24.19,,
2180,"COMBU-EXPRESS, S.A. DE C.V.",PL/769/EXP/ES/2015,21.49188,-104.8626,,25.84,
2181,"PETROMAX, S.A. DE C.V.",PL/450/EXP/ES/2015,25.78579,-100.1586,,27.49,
2182,"Servicio Jacarandas, S.A. de C.V.",PL/854/EXP/ES/2015,19.61462,-99.0181,,25.29,
2183,"PETROMAX, S.A. DE C.V.",PL/429/EXP/ES/2015,26.08213,-98.29991,,22.99,
2184,"GRUPO OCTANO, S.A. DE C.V.",PL/534/EXP/ES/2015,20.69032,-105.2258,26.39,,
2185,MULTISERVICIOS LA PILARICA SA DE CV ,PL/379/EXP/ES/2015,25.74504,-109.0079,25.63,,
2186,"Estación de Servicio Marbella, S.A. de C.V.",PL/692/EXP/ES/2015,19.54896,-99.07384,24.99,,
2187,"PETROMAX, S.A. DE C.V.",PL/614/EXP/ES/2015,26.06836,-98.33501,,22.99,
2188,"Gasolinería Ulises, S.A. de C.V.",PL/648/EXP/ES/2015,19.62737,-99.2403,24.29,,
2189,"ARY SUPER SERVICIOS VI, SA DE CV",PL/852/EXP/ES/2015,25.59699,-103.3994,,,25.37
2190,"PETROMAX, S.A. DE C.V.",PL/574/EXP/ES/2015,19.54947,-99.05198,,25.99,
2191,"Estación de Servicio Cuenca, S.A. de C.V. ",PL/693/EXP/ES/2015,22.254,-97.85314,,23.98,
2192,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/859/EXP/ES/2015,21.15335,-101.6542,,25.99,
2193,DALROM S.A DE C.V.,PL/757/EXP/ES/2015,21.87411,-102.2435,22.99,,
2194,"PETROMAX, S.A. DE C.V.",PL/555/EXP/ES/2015,25.79039,-100.261,25.99,,
2195,COMBUSTIBLES ARCOTETE S.A. DE C.V.,PL/735/EXP/ES/2015,16.73734,-92.60492,23.99,,
2196,"Estación de Servicio la Rioja, S.A. de C.V.",PL/647/EXP/ES/2015,19.82526,-99.08937,,25.09,
2197,"PETROMAX, S.A. DE C.V.",PL/771/EXP/ES/2015,25.44261,-100.9147,,26.99,
2198,"PETROMAX, S.A. DE C.V.",PL/514/EXP/ES/2015,25.67927,-100.4822,,27.49,
2199,SERVICIO SIERRA DE ARTEAGA SA DE CV,PL/783/EXP/ES/2015,25.44026,-100.8774,,26.19,
2200,"DIAZ GAS, S.A. DE C.V.",PL/761/EXP/ES/2015,31.7462,-106.4253,18.54,,
2201,"PETROMAX, S.A. DE C.V.",PL/458/EXP/ES/2015,25.70878,-100.1629,,27.39,
2202,ESTACION TALLERES S.A. DE C.V.,PL/888/EXP/ES/2015,21.15601,-86.88126,25.38,,
2203,"PETROMAX, S.A. DE C.V.",PL/564/EXP/ES/2015,25.71314,-100.3628,24.79,,
2204,"PETROMAX, S.A. DE C.V.",PL/520/EXP/ES/2015,25.66576,-100.2664,24.39,,
2205,"GRUPO LONOR, S.A. DE C.V.  E11919",PL/874/EXP/ES/2015,15.8336,-91.96599,,,
2206,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/877/EXP/ES/2015,21.07652,-101.6518,,,23.99
2207,"GRUPO OCTANO, S.A. DE C.V.",PL/504/EXP/ES/2015,19.80471,-104.2044,,26.49,
2208,"GRUPO OCTANO, S.A. DE C.V.",PL/416/EXP/ES/2015,21.49595,-104.883,25.19,,
2209,GASOLINERAS PABA SA DE CV ,PL/733/EXP/ES/2015,24.12212,-110.2945,23.99,,
2210,SERVICIO GASOL SA DE CV,PL/883/EXP/ES/2015,25.55813,-103.3947,23.99,,
2211,"PETROMAX, S.A. DE C.V.",PL/542/EXP/ES/2015,26.02191,-98.23244,,22.99,
2212,Becktrop Operadora SA de CV,PL/709/EXP/ES/2015,32.5229,-117.0261,23.19,,
2213,"ESTACION AMBAR, S. DE R.L. DE C.V.",PL/722/EXP/ES/2015,32.49483,-116.924,,25.99,
2214,"Estación de Servicio Venta de Carpio, S.A. de C.V.",PL/819/EXP/ES/2015,19.6214,-99.00452,,25.99,
2215,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/370/EXP/ES/2015,25.78968,-109.0119,,26.65,
2216,GASOLINERAS PABA SA DE CV ,PL/688/EXP/ES/2015,24.14254,-110.314,,25.99,
2217,"PETROMAX, S.A. DE C.V.",PL/540/EXP/ES/2015,25.76277,-100.4024,,27.39,
2218,ENERGETICOS Y SERVICIOS OCOZOCOAUTLA  SA DE CV ,PL/765/EXP/ES/2015,14.91567,-92.34282,22.8,,
2219,"PETROMAX, S.A. DE C.V.",PL/600/EXP/ES/2015,25.73068,-100.253,26.49,,
2220,APOYOS Y SUMIN.COMERCIALES E INDUST. S.A. DE C.V. ,PL/633/EXP/ES/2015,32.52634,-117.0852,22.99,,
2221,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/398/EXP/ES/2015,32.65948,-115.3744,22.39,,
2222,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/389/EXP/ES/2015,32.59562,-115.4325,,,24.09
2223,"ESTACION CUCAPAH, S.A. DE C.V.",PL/687/EXP/ES/2015,32.51322,-116.8796,,,24.49
2224,"PETROMAX, S.A. DE C.V.",PL/603/EXP/ES/2015,25.82103,-100.264,,27.39,
2225,"ESTACION GRUGAS, S. DE R.L. DE C.V.",PL/669/EXP/ES/2015,32.53901,-116.9147,,25.99,
2226,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV ,PL/739/EXP/ES/2015,16.08285,-90.63845,,23.59,
2227,"PETROMAX, S.A. DE C.V.",PL/741/EXP/ES/2015,25.48155,-100.9835,,,25.29
2228,"PETROMAX, S.A. DE C.V.",PL/589/EXP/ES/2015,25.78637,-100.3206,,27.49,
2229,PETRO SERVICIOS DEL SURESTE SA DE CV,PL/643/EXP/ES/2015,17.90663,-93.12914,22.69,,
2230,Becktrop Operadora SA de CV,PL/716/EXP/ES/2015,32.65059,-115.4722,,23.49,
2231,GASOLINERIA LAZARO CHANONA BORGES SA DE CV ,PL/777/EXP/ES/2015,16.76469,-93.38528,,25.14,
2232,"PETROMAX, S.A. DE C.V.",PL/547/EXP/ES/2015,25.77943,-100.318,23.99,,
2233,GASOLINERA NORPONIENTE S.A. DE C.V.,PL/889/EXP/ES/2015,21.14857,-86.89943,,26.38,
2234,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV ,PL/736/EXP/ES/2015,16.50013,-90.65433,22.69,,
2235,"PETROMAX, S.A. DE C.V.",PL/598/EXP/ES/2015,19.6322,-99.0914,,25.99,
2236,"Estación de Servicio Cantabria, S.A. de C.V.",PL/822/EXP/ES/2015,18.88947,-99.19987,23.99,,
2237,"GRUPO OCTANO, S.A. DE C.V.",PL/424/EXP/ES/2015,21.0257,-105.2634,26.39,,
2238,GASOLINERA GUASAVE SA DE CV,PL/903/EXP/ES/2015,25.56817,-108.4668,,26.47,
2239,"PETROMAX, S.A. DE C.V.",PL/495/EXP/ES/2015,26.08957,-98.29279,,,16.41
2240,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/403/EXP/ES/2015,32.58874,-115.5797,22.59,,
2241,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/391/EXP/ES/2015,25.79292,-109.0046,25.65,,
2242,"SERVICIO JARDINES, S.A. DE C.V. ( ES12369)",PL/671/EXP/ES/2015,20.3788,-90.04852,,24.69,
2243,Gasolinera Colon S.A. de C.V.,PL/828/EXP/ES/2015,20.65207,-103.3658,,,25.4
2244,"PETROMAX, S.A. DE C.V.",PL/569/EXP/ES/2015,25.69688,-100.3575,26.49,,
2245,"GRUPO OCTANO, S.A. DE C.V.",PL/363/EXP/ES/2015,21.47486,-104.8595,25.19,,
2246,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/390/EXP/ES/2015,25.82133,-108.9919,,26.65,
2247,"PETROMAX, S.A. DE C.V.",PL/527/EXP/ES/2015,25.50189,-100.9627,,26.99,
2248,OPERADORA LAS CRUCES SA DE CV,PL/791/EXP/ES/2015,28.70271,-100.5463,,21.2,
2249,"PETROMAX, S.A. DE C.V.",PL/478/EXP/ES/2015,28.68869,-106.1335,,25.59,
2250,GRUPO GOCALVI SA DE CV,PL/830/EXP/ES/2015,31.72121,-106.4936,,19.89,
2251,Estacion El Encanto S.A. de C.V.,PL/726/EXP/ES/2015,32.56519,-116.6503,,24.49,
2252,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/382/EXP/ES/2015,32.59637,-115.483,,,23.99
2253,"Gasolinería Turquesa, S.A. de C.V. ",PL/864/EXP/ES/2015,19.67295,-99.07876,,25.59,
2254,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/381/EXP/ES/2015,25.76621,-108.9903,25.65,,
2255,"PETROMAX, S.A. DE C.V.",PL/469/EXP/ES/2015,25.76333,-100.4128,,27.49,
2256,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/869/EXP/ES/2015,32.50251,-116.8668,,,24.29
2257,"GRUPO OCTANO, S.A. DE C.V.",PL/535/EXP/ES/2015,20.95066,-105.3483,,27.49,
2258,MULTISERVICIOS LA PILARICA SA DE CV ,PL/376/EXP/ES/2015,25.70819,-108.7157,,26.35,
2259,"DIAZ GAS, S.A. DE C.V.",PL/776/EXP/ES/2015,31.7203,-106.4733,18.54,,
2260,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/682/EXP/ES/2015,32.64334,-115.506,21.99,,
2261,"PETROMAX, S.A. DE C.V.",PL/597/EXP/ES/2015,25.78744,-100.5805,26.49,,
2262,"GRUPO OCTANO, S.A. DE C.V.",PL/400/EXP/ES/2015,19.67717,-101.2223,,26.64,
2263,"PETROMAX, S.A. DE C.V.",PL/434/EXP/ES/2015,25.44611,-100.846,,26.99,
2264,"SERVICIO AG SANTA ROSA, S.A. DE C.V.",PL/673/EXP/ES/2015,27.88953,-101.4273,,24.29,
2265,"ARY SUPER SERVICIOS II, SA DE CV",PL/886/EXP/ES/2015,25.54451,-103.5191,,26.08,
2266,"Gaeli Diesel, S.A. de C.V.",PL/872/EXP/ES/2015,18.65546,-91.82955,22.58,,
2267,"PETROMAX, S.A. DE C.V.",PL/537/EXP/ES/2015,19.47922,-99.10912,,25.99,
2268,"SERVICIO CIBOLA, S.A. DE C.V.",PL/670/EXP/ES/2015,32.53784,-117.0165,22.99,,
2269,COMBUSTIBLES Y REPARACIONES DE CHIAPAS SA DE CV,PL/844/EXP/ES/2015,16.76767,-93.1921,22.59,,
2270,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/657/EXP/ES/2015,32.57238,-116.6227,23.99,,
2271,"PETROMAX, S.A. DE C.V.",PL/578/EXP/ES/2015,25.75637,-100.2961,23.59,,
2272,"Gasolinería Magnolias, S.A. de C.V.",PL/631/EXP/ES/2015,19.37437,-99.09545,24.29,,
2273,OPERADORA DE COMBUSTIBLE SA DE CV,PL/782/EXP/ES/2015,24.1315,-110.2967,23.99,,
2274,"PETROMAX, S.A. DE C.V.",PL/552/EXP/ES/2015,26.00909,-98.27705,20.29,,
2275,"PETROMAX, S.A. DE C.V.",PL/605/EXP/ES/2015,32.51204,-116.9097,,25.29,
2276,MULTISERVICIOS LA PILARICA SA DE CV ,PL/361/EXP/ES/2015,25.8021,-108.9416,,26.69,
